year,avg_larvae_count_per_volume_sampled,spp_grp,ply_code
1978-01-01T00:00:00Z,0.00418349337202542,Rockfish,CINMS
1979-01-01T00:00:00Z,0.003984500417539594,Rockfish,CINMS
1980-01-01T00:00:00Z,6.595784720076132e-4,Rockfish,CINMS
1981-01-01T00:00:00Z,0.0068709967309003635,Rockfish,CINMS
1982-01-01T00:00:00Z,0.0026402994856963872,Rockfish,CINMS
1983-01-01T00:00:00Z,0.004371176186000052,Rockfish,CINMS
1984-01-01T00:00:00Z,0.0018963082412598153,Rockfish,CINMS
1985-01-01T00:00:00Z,0.001578586598525084,Rockfish,CINMS
1986-01-01T00:00:00Z,0.0037061256288188804,Rockfish,CINMS
1987-01-01T00:00:00Z,0.001514548110572328,Rockfish,CINMS
1988-01-01T00:00:00Z,0.004210599050782183,Rockfish,CINMS
1989-01-01T00:00:00Z,0.003166698339907289,Rockfish,CINMS
1990-01-01T00:00:00Z,0.00117045831247176,Rockfish,CINMS
1991-01-01T00:00:00Z,0.005326108050928715,Rockfish,CINMS
1992-01-01T00:00:00Z,0.0029169962926013375,Rockfish,CINMS
1993-01-01T00:00:00Z,9.021972841728476e-4,Rockfish,CINMS
1994-01-01T00:00:00Z,0.0013031187393333366,Rockfish,CINMS
1995-01-01T00:00:00Z,0.001282580129296097,Rockfish,CINMS
1996-01-01T00:00:00Z,0.0018877289644966184,Rockfish,CINMS
1997-01-01T00:00:00Z,0.0010160931145605581,Rockfish,CINMS
1998-01-01T00:00:00Z,8.401230067532445e-4,Rockfish,CINMS
1999-01-01T00:00:00Z,5.546295966110779e-4,Rockfish,CINMS
2000-01-01T00:00:00Z,0.0013653309807303742,Rockfish,CINMS
2001-01-01T00:00:00Z,0.002892995892597694,Rockfish,CINMS
2002-01-01T00:00:00Z,0.0018290786184802542,Rockfish,CINMS
2003-01-01T00:00:00Z,0.0013566593458750084,Rockfish,CINMS
2004-01-01T00:00:00Z,0.001188673938135984,Rockfish,CINMS
2005-01-01T00:00:00Z,0.001448657622049213,Rockfish,CINMS
2006-01-01T00:00:00Z,8.432587613831306e-4,Rockfish,CINMS
2007-01-01T00:00:00Z,0.0011620355655598972,Rockfish,CINMS
2008-01-01T00:00:00Z,0.003230145266164927,Rockfish,CINMS
2009-01-01T00:00:00Z,0.007907613688565875,Rockfish,CINMS
2010-01-01T00:00:00Z,0.001966937346520048,Rockfish,CINMS
2011-01-01T00:00:00Z,0.0014489723490935182,Rockfish,CINMS
2012-01-01T00:00:00Z,0.001777197701138806,Rockfish,CINMS
2013-01-01T00:00:00Z,0.0034984632123173315,Rockfish,CINMS
2014-01-01T00:00:00Z,0.0015936953785178503,Rockfish,CINMS
2015-01-01T00:00:00Z,0.007134378219557646,Rockfish,CINMS
2016-01-01T00:00:00Z,0.003521258769767983,Rockfish,CINMS
2017-01-01T00:00:00Z,0.0029053321619941785,Rockfish,CINMS
2018-01-01T00:00:00Z,0.0012783503855521132,Rockfish,CINMS
